state,name,land_area_sqmi,land_area_sqft,water_area_sqmi
AL,Geiger town,0.945,26345088,0.004
AL,Geneva city,15.617,435376973,0.188
AL,Georgiana town,6.237,173877581,0.000
AL,Geraldine town,3.822,106551245,0.012
AL,Gilbertown town,10.517,293197133,0.000
AL,Glen Allen town,6.526,181934438,0.014
AL,Glencoe city,16.999,473904922,0.083
AL,Glenwood town,0.731,20379110,0.003
AL,Goldville town,0.986,27488102,0.015
AL,Good Hope city,7.885,219821184,0.048
AL,Goodwater town,6.494,181042330,0.029
AL,Gordo town,3.253,90688435,0.004
AL,Gordon town,2.920,81404928,0.000
AL,Gordonville town,5.542,154502093,0.058
AL,Goshen town,2.562,71424461,0.016
AL,Graham CDP,5.854,163200154,0.000
AL,Grand Bay CDP,8.675,241845120,0.024
AL,Grant town,1.851,51602918,0.004
AL,Grayson Valley CDP,1.869,52104730,0.000
AL,Graysville city,16.054,447559834,0.014
AL,Greensboro city,2.377,66266957,0.010
AL,Greenville city,21.354,595315354,0.176
AL,Grimes town,1.253,34931635,0.000
AL,Grove Hill town,7.590,211597056,0.007
AL,Gu-Win town,1.943,54167731,0.000
AL,Guin city,14.975,417479040,0.000
AL,Gulf Shores city,28.647,798632525,4.830
AL,Gulfcrest CDP,1.514,42207898,0.003
AL,Guntersville city,25.637,714718541,17.063
AL,Gurley town,3.680,102592512,0.011
AL,Hackleburg town,15.275,425842560,0.011
AL,Hackneyville CDP,8.963,249874099,0.015
AL,Haleburg town,3.838,106997299,0.000
AL,Haleyville city,8.384,233732506,0.050
